text,emoji
"Почему Гецати не попал в финал, хотя баллов у него больше чем у Матвеева?!",😡
Тогда нужно поднять бунт,🤣🙈
"На оф сайте в рейтинге Гецати больше на 5,9 баллов",🤷🏼
@aveyuo что вы мне ставите,🤣
Все сегодня случайно голосуют,🤭
там первый Олег стоит я вниз листать хотела,😭
"Олег и есть лучший, когда Костя нет",😭
Может быть Дима или Влад,😉😊
Оба Шепса хороши! Но я мягко скажу,👉
Не фанатка Олега! Его *переглядки* в сторону Александра,🤞
"Матвеев "" сильнейший""экстрасенс?",😂🤣
Мудинь я не могу,😡😡😡
Пипец взяли Константина слили,😔
а я про Адамова повтор,🙈
ещё 1:45 ждать,😭
"Влад да же нравится стал ,сказал что финал для него важен ,что хочет в финал",🤗
Сам посмотришь и узнаешь,🙃
Интересно там наверняка,🤷
Все уже посмотрели что лиУ нас не началось ещё,😭
У нас через час сорок ток начнётся,🧐
Он просто сам гнильцо и из других вытаскивает,🤣
"Идет,)) смотрите как там Матвеев(""сильнейший"") изо всех сил старается пройти испытание",😬
Щас Толик всем жути нагонит,😁
Костёр развёл замерз,🤣
"Константина не будет, он покинет проект,увы",😒
Господи что вы все заладили Матвеев зря это затеял,🤣
И вообще я за Владика,❤
Песня Чумакова в его исполнении:,😍💋
Надежда по полной разнесла Влада,😂
"за Константина она была ,Влад опять обиделся",😂
Посильнея Влада будет,😘
"трогательно , очень сердечно",❤
Пхпхп сразу три Чумакова а четвёртый в жюри сидит,😂😂😂
Отдали голос за Вику,✊✊✊
А Влад финалист,😂😂😂
А победит Олег,😂😂😂
Сейчас в конце Дима с Владом пойдут бесов звать,🤣🤣🤣
"Марьяну уже пригласил Марат на второй сезон бс ,значит будет",🤗
"Костя лучший,жаль что он не попал",🥺
А Лина причём?Бред какой то написали,🤦
"Почему Шепс первый стоит, если в таблице Вика вообще первая",🤬
",Надежду Марат назвал королева мать бс",🤗❤
"закрыть, а проголосовала за Шепса, и каково было удивление что только один голос можно оставить",🤦🏼
"А мы проголосовали по случайности , за Шепса",😢
а может и наоборот,🙈
что братца обскакал,😜
"Так же, сейчас буду знакомых подключать",😅
"Ну ладно, буду тогда за Викторию и Олега болеть",😊
А Влад то точно не мог опередить,🤔
Ничего нет случайного в ентом мире,☝😅
Вы такая не одна,🥲
Ладно хоть Виктория и Олег в финале,😁
"Хочу чтоб выиграл Влад! Остальных плохо знаю, Влад мне нравиться",👍
Я не хочу,😂
хочу чтоб выиграла Виктория или Олег,😁
Так и было у меня по крайней мере,☺
"Ну семейка покажите себя , интересно уже посмотреть Влад сможет победить или нет",🙃
Владик самый лучший,❤😍
Только телезрители за своих тупо голосовать будут,🤣
Так то Влад предсказал победу Олега,🤗
У меня вылезает при нажиме кнопки голосовпния через код газпрома,💁
Не забывайте что голосовать можно только за одного,❗
И голос учтен,🤔
Какая шуба у Виктории,🤣
Блин у меня ещё старый выпуск,🙈
Тоже хочу уже шубу увидеть,😂
Ну всё точно Олег победит,😂
Очень хочу чтобы Череватый победил,😭
Тут все родственники за Олега голосуют,😂
потому что крупными буквами могли указать что голосовать можно только раз и за одного участника!,🤦
"Интересно, Влад нас в родственнички запихал, нам скидки теперь полагаются",😂
"Да всё уже ,вы пролетели",😂
внимательнее надо быть,🙃
подставляете своего Влада,😂
Щас Вика порвет всю душу вывернет,🙂
"Надеюсь, проголосуют за Влада",🙈
"Влад 1 Дима 2Виктория 3 Олег 4 Очень надеюсь, что места так распределятся",🙃
Не могу понять из какого зверя у ней шуба,🤔
"Мда уж опять деревня висельников ,вот говорила же Саша там то же нужен,уже есть опыт",🤗
"Кости нет, остаётся только Влад",🤩😂🙃
Так что у всех есть свои грешки,🤪
а Влад бляяя финалист я не могу,😂😂😂
Ха ха ловлю все 3 я на испытании Леопольды,😂😂😂
"Ну на самом деле он тоже силён, просто ему нужно больше опыта",😁
"Капец ,Диме теперь уже солнце мешало",😂😂😂
"Господи, кто явился",😂
Какой толк ныть,😒🤬
"куда Гецати дели? И почему Влад в финальном испытании, хотя в таблице он после Константина",🤔
"Да Олег возьмёт руку ,родственники за Олега почти все по ошибки проголосуют",😂
"Мда уж ,ну вы блин",🥞
"даёте ,семейка невнимательная оказалась",😂
"Да интересный финал смотрите ,Костя сам особо не горел желанием попасть в финал",🙃
Да пусть дама выйдет с победой,🤣
Пластика это сила шапито,😂😂😂
"Всем удачи, голосую за Викторию",❤
"Посмотри ,что творит семейка",🤣
за Олега как голосуют,🤣
"голос не баллами,оказывается,первым Шепс был ,поэтому ему попался мой голос,а хотела за Викторию",😒
Да всё уже большинство так и проголосует за Олега,😂
теперь как эстафетную палочку передают друг другу,🤣
Когда как отношение к отдельным экстрасенс а вы похоже не ррочитали,🤷
"Лена привет, уже соскучилась по тебе, тоже посмотрела последнее испытание",🔥
Тоже так проспали голоса,😔
У этой всегда мурашки,😂
"Мне кажется так специально сделали, что бы Олег вышел в финал",👎
Попросила всю группу в общаге за Влада проголосовать,😂
Ну это мы ещё посмотрим,🤡
Как и где голосовать за экстрасенсов? Ссылку можно,🙏
Мы всей семьёй за него голосуем,🙃
За Вику и Олега голосую,💋
Сегодня сделали как он делал весь год,😂😂😂
Капец за щенячий взгляд в финал,😂😂😂
Надеюсь раньше получится узнать,🙃
Да у Влада даже мысли не возникла что он выглядит сейчас бледно,😂😂😂
Наде и Вике респект,👍👍👍
Он не понимал зачем он на 4 месте цирк,😂😂😂
В Леопольда превратился,😂😂😂
Верните Константина вместо Димы или Влада,😿😫
И не надо пусть отдыхает у него много дел,❤
"Влад, он сильнейший",❤
"Да , уже печать величия на лице , как у Лепса , появилась",😂
Нет он 5 а Влад 6,😂😂😂
Это вроде Марьяна сказала,😂
"Не спорьте, Влад ЛУЧШИЙ",❤
Я не успел написать,😭😭😭
А премьера игры без границ уже была подскажите пожалуйста,🙏
"Пока ты без дел, вчера наша Олечка намекнула в интервью о своём «интересном положении»",👥😍
Выходит прездсказание Лины сбылось? Пора собирать на девочку ?,❤
Так вместе и пошли на выбывание,😂
Ничего святого нет пиариться на самом сокровенном,🤢
"Ну пусть все сбудется, как Лина сказала",🙏
Урааа я буду смотреть,🍿
Пусть все случится,🙏🙏🙏
Почему вчера? Я уже давно видела этот выпуск,🤷
"ну, или у меня дар правидения",😅
А папа кто?,🧐
"Последнее, что я про Олю знаю, она была одна",😅
От всей души желаю Оли стать мамочкой,🤗🥰
Так что расходимся…,😅
Только заметила что вы ответили,😭
Отправь той самой,❤
"Вот оно что, Михалыч!",😂😂😂
"но буду в поезде 2 дня,печалька",🥲
Очень рада за Олю,⚘
"Если вас услышат, я участвую",😁🙏
"Но без Утяшевой, пожааалуйста",🙏
Если случайно пропустил,😔
Вы прям почти уже мои друзья,😊
"Ааа, не видела интервью",🙈
"Сердечно рада за Олю, она сильная женщина,",🙏🙏🙏
Стоун просто отстой,🤮
Надоел ещё с Африки,👎
Ещё один Шепс Шоумен растет,😂
Работникам ТНТ удачи вам,😘
В чем удачи? Все серии Саша Таня не забыть показать?,😂
Тоже интересно почему 1 и 2 часть - одно и то же,🧐
Он тебя уже запомнил!,😑
"Не испытывай его терпение, включай второй сезон «Просто Михалыч» 2 сентября в 2",
Урааааа! Наконец-то я так ждала,☺
Он асоциируется у меня с моим папой,😅
Ору а реально так и есть,😂
"что-нибудь про шоу «Звезды в Джунглях», покажите нам участников уже, а то ожидание просто мучительно",🙄😅
Это - лучшее «выступление» Александра Шепса за всë время его участия в шоу!,🤣
"Гарик Мартиросян выше уже все сказал, просто фиксируем: Второй победитель, который заберет 1",
"А первый победитель нашего конкурса уже получила свой приз и делится планами, куда потратит выигрыш",🥹❤
"Я помню это, было где-то в начале года, в следующем году ждём",👶🤱
Не могу найти в ВК ваши официальные страницы,🍦😊
ВК ТНТ-шников мне не выдаёт,😊
"хватит гаситься у меня же 2,5 подписчика",✌😊
лет одно и тоЖ,😆
Так назови Просто Гарик,😐
"Очень нравится передача, смотрю каждое утро, но, пожалуйста, оденьте ведущих",🥴
слишком открытая одежда,🐣👀
"Свадьба будет только 3-его сентября, а фотографии уже готовы!",😍
Приглашаем всех к просмотру НОВОГО сериала «Третье сентября» 2 сентября в 2,
Классный актёрский состав,👍
У нас будет уже 13,💍
"Эти участники , конечно, свою изюминку вносят, но уши режет почему-то",🤔
Я про то же?,🤣
"Плюс к этому подросло поколение на вашем канале, я думаю желающих будет очень много",🥰❤
"Мультивселенная, которую мы заслужили",❤😃
ПАША И ЛЯСЯ ЛУЧШИЕ,❤
Так его вроде закрыли?,🤔
"Нет, Таня родила двоих!",✌👍
я последний раз Таню в «Универе» видела,😂
"Мы говорим - «вайбово», Михалыч говорит - «душевно»",🥇
со съемок «Просто Михалыча 2» и включай новый сезон любимого сериала 2 сентября в 2,
"Плюс к этому подросло поколение на вашем канале, я думаю желающих будет очень много",🥰❤
"Хорошего времяпровождения, благодарю за ответ",⭐
"Будет очень много участников, гарантирую",🥴
"очень многие очень хотят попробовать себя в нем, вдруг среди них есть очень талантливые ребята",🫢🤔🤫
Будем очень ждать,🥰
"Но мы все равно очень любим ТНТ, как Паша Воля - Ляйсан",❤
Капец как хочу к вам пойти работать,😂
"А значит выйдет новый выпуск ""Истории на Миллион""))",❤
Мой любимы день недели,👍
"Урааа, сегодня камеди",🥳🥳
В Сентябре пятница тоже станет любимым днём недели,😁
Кто куда пришёл?,🤔
У мамы день рождения,🥳
"зачет, реально можно ей выигрыш дать, на новую машину",🔥
"Гоша Рубайло про плюсы, минусы, подводные камни вегетарианства",🥦
"Намного хуже, когда становятся веганами",😂
"Вообще весь его диалог смотрела на одном дыхании! Классно выступил, было реально смешно",😂
Когда не прошла оплата на музыкальном стриминге,🥲
Очень жду выпуск с Митей Фоминым,💖
Очень жду Митю,🔥🥰
Ждём нашего Митю,🙏😍
"Ох, как же ждуу",🔥
этот выпуск ! Митю Фомина обожаю,🥰
"У Мити хорошая интуиция , музыкальная",😄
Да к сожалению ждать целый день,😭
"Ну и админы, посмотрите, может вам пригодится",😉
"Админ может посмотреть в удалённых)Скажем так, админ админа поймёт",🤣
Думаю админ тнт чата ниче не смотрит в удалённых,😂😂
"Вам могу в личку скинуть, так как понимаю ваше любопытство)",🌹
Смешной такой ведущий,🤭
чтобы ты мог прочитать это:Не пропусти ПРЕМЬЕРУ второго сезона «Просто Михалыч» 2 сентября в 2,
Когда зкд 3?,😭😭
Мои тоже классно),😍
Какая она мерзкая,🤮🤮🤮
"Карина Мейханаджян делится местами, куда можно сходить с друзьями",🙈
"Мите Фомину, прям респект! Вот что значит старая школа!",👏
", что бы было непонятней?)))А может я ещё просто не доросла до высокого вокального искусства",🤣
"Отлично, слушаю музло)))",✌
"юмора"" такая у Мити, тем более, что она сочеталась с темой песни))) Может своеобразная чуть-чуть",😀
"Шутка удалась, хоть и с некоторым недоумением сначала",😀
Чёт много вы хотите на 100 тыс,😳
Эти двое когда-нибудь помирятся?,😨
"этот раз не говорил, а вот в прошлый обещали новый)) С тех пор и жду",🤣
Втащил бы этому Стоуну,😂👍
Из соревновательно-спортивного шоу делают дом2,😑
Есть рейтинг - будут крутить,💯
"больше запомните НИКОГДА,не берите в любое шоу,Стоуна и Сысоеву,это смотреть не возможно из за них",🫣
"Согласна, как-то подташнивает от них",🤮
"не только! Как дополнительный заработок, простая рассылка сообщений на авито, пишите в лс кому интересно",😉
"Когда уже ""Титаны-2""??",😁
"Посмотрела пару раз ""Выжить в Дубае"" - это же дурдом какой-то",😳😃
"Пусть уже Андрей скорей выиграет, и всех - по домам",😁😁
Уже смотрим и офигиваем,🤣🤣🤣
"Он зарубин, а не Стоун",🤦🏻
"Бьются, как львицы",❤
Кто выиграет в этом красивом противостоянии?,🥇
тогда когда проиграл малые испытания! А сейчас он видите ли мстить приехал! Очень разочаровал! Фу,💩💩💩
"Самый достойный Андрей, он должен вырвать эту победу‼",
Кто за Тора ставь,❤
А кто за Сашу,👍
"Да вышвырните вы уже эту омерзительную Сысоеву с проекта!! Как внешне блевотина, так и внутренне!",🤢
"молодцы, особенно понравилась девочка китаянка",😍
"противнаЯ баба, злая, худая, тяфкает за спиной у истерички Стоуна",🤦🏼
"и для парня и для девушки, рада что наконец-то Аня ушла Слава и Тор вперед",❤
И ведущий классный,🫶🏻😜
Слон и моська,😏😏😏
Саша с жопой макаки на лице,🙊
"Умничает, а нечем",🤦
Существует ещё 32 способа заработать,😏
Сегодня команда России Мощь,💪
Щебень дробленый и его змея подколодная -просто фу,👎
", простите, но по другому их назвать не получается",🤷
"началось? Я в турции, не понимаю то ли час разница, то ли еще не началось",🤷🏽
Как четко подметили,👍
Ещё и пальчиком помахали,🤣
А субъективно-он просто красавчик,😏😍
Олень белобрысый!!! Фу,🤮🤮🤮
Чтоб им в постель варан залез,😂
Он терпила по жизни и доказал это выбрав себе в соперники девушку! Просто ЧЁРТ,👎
"Воляаааа, убери этих двух животных с проекта",🙏🙏🙏
ТНТ можно привет пожалуйста,❤💋
Титанов по зрелищности не обойдут игры без границ,👎
Жду с нетерпением когда выйдет на рутуб,❤🌷
"Надеюсь, Надя пересмотрит и поймет какая она мерзкая",🤢
Кто уйдет? Плиз,🙏
Ну какая же мерзость этот звероящер Наденька! Отвратительнейшая особа!,🤮
"Стоун и Сысоева днище, лицемеры",🤮
Смотреть уже нечего,🤦
"В ""Сокровищах императора "" жалко желтых было, здесь жалко Славу и Тора",😔
"какая то, Комеди вумен не нужна так здесь чучело это, фу противные вместе со Стоуном",🤪🤪
Бабушка иди спи,😂😂
Заепал уже эта Аня,😂
"Напишите, кто вылетел",🙏
И Стоун и Сысоева гнильё сплошное Мерзко смотреть на них Позорище,🤮
Они там с чем борятся??с мячом или сами с собой,🙄🙄
мяч там лишний получается,🤷
Как же я разочарована в Чепурченко,🤮
"Я думаю, что не хотел, а боялся",😉
"И самое главное,люди! Это игра,бляха муха",😂
Подружились они со свездами,😂😂😂
"Они что-то просили? Интересно посмотреть,как ты повел бы себя там",😂
Ку ку что ли,😂
Они кому там жизнь испортили? Интересно бы посмотреть на всех вас на их местах,😂😂😂
"Что вы хотите от людей, которые впервые на камеру работают? Ждём вас в следующем сезоне",😁
"Покажите нам вашу харизму, актёрское мастерство",😁😁😁
"Будут на пару со Стоуном ,что вообще поразило",😂
С приветом ТНТ,👋
А ещё Ершова и Погребняк!!!,👌👎🤷
"сравнению с прошлым выпуском, чуть интереснее, но дружбы между странами после таких испытаний, это вряд-ли",😁
"Они выглядят как пара, если честно",😂
"Одна мужиковатая похожа на транса, вторая соска со свистком",😂
в титанах было или ты сразу вылетаешь или испытание на вылет это намного зрелищней было,🙄🙄
всегда честно) Жалко было Боню и Седакову! Для меня эти девушки открылись с др стороны,❤
Стремное нудное испытание,👎👎
Полная хрень хоть бы додумались бы менять последнее испытание проект днище,👎👎👎
А Вы видимо родственница,😂
Ну это же не интересно смотреть в титанах испытания все разные были,🙄🤷
Какую то хрень придумали,🙄
"Тема, ты заставил меня смотреть телевизор",🤪
Какая же противная эта Аня,🤦🏼
Можно я здесь г,🌷
внище напишу аня бесит фальшивая на сквозь жучара хоть бе свалила,🙏
Сысоева так наигранно вешается каждый раз на шею Стоуну,😂
"разыгрывает великую любовь ""хочу выиграть стейки для Саши",😂
"жрёт, ни в отеле не ела, ни в пустыне, со стаканом воды просидела все шоу",😂
ТНТ можно привет?,🥲
Давайте ТИТАНОВ второй сезон!!!,😂😂😂
Зато Россия в финале,😎
"Дружба народов, ага",😂
"Постоянная болтовня ведуших, их больше, чем самого испытания",🤦
Прка хватает Выжить в Дубае,😂
Жду Титаны 2!,😍
"атлет это корейская версия, есть два сезона… И да шоу Титаны скопировали из этого шоу",🤣
"И судя по ""травмам"" из 2х серий,уровень там Российского футбола",😂😂😂
"бочке отличились,ногой ударился и китаец ,уважая нашего побоялся работать в полную силу, ну как так?",🙈🙈🙈
Ооо полностью с вами согласна,🤣
"убил момент когда россиянка покалечила индианку, и кричала вы что ей верите она время тянет",🤣
А когда она лежит и ей реально хренова она потом приходит и руку ей целует,🤣
Как они чувствуют!,🤩
Не мои проблемы,🤨
"Вообще как то не очень понятно, а где другие страны,когда они будут выходить ?",🙄
"ТНТ, доброе утро! Удачной вам недели!",☀💘
А ты где живёшь,🫵👀
послала типа чо дальше,🌟🌟🌟
серый типа свег дэээм гаддэм нью рэп стайл дэээб,🥵🥵🥵
Я не обзывалась,👀
Я просто ответила на вопрос,🙈
Мы прощаем пап,🥹
"Доброй ночи, знаю точно, что этот человек актер, он в рекламе O’STIN снимался",🤥
Как вам шоу с Гецати?,🤡
Вот кто богини!!!!,😍
ах ох ой да,👎
"Зачем Левин!? Дайте другим себя показать,не интересно смотреть",😏
"Кто пишет "" епу тя ох ах""Что за дитё тут сидит",🤡
Больше скучаю по Грифаль и Ванг,🥹
"ей 26 лет исполняется, можете пару слов написать, пожалуйста, просто я хочу видео поздравления сделать",🥺🥹
"Если Мотина ушла, то Волкова",🤞
"Уже еду на экстра такси, жмота придётся выпустить",🙊
Поздравляем твою сестру с днем рождения! Счастья здоровья и всех благ,❗
Николь чисто от,🆘
всем пака я проста маму люблб сваю,😘
тебе не понравится,😏
ты правда так думаешь,🥺🥺
"удавлитворить его запросы, и влил в рюмку мести водки уксус, сказав что с меня хватит",😭
"Толик да им делать нечего, они видимо думают что те в финал попадут",😂
"Они обе лохудры, лучший только я",😈🕯
"Ну го пупсик мне 666 лет, а тебе",😜
Я КАК РАЗ И ГОВОРЮ ЧТО МОЛЛИ СКАЗАЛА НАМНОГО МЕНЬШЕ,👌👌
а можно нормально выражаться и не показывать свой расизм,🥺
"Любимки я спать, а-то водка уже на столе, всем бай лапушки",😘
"Дитю на испытание людей не могла посчитать, а на картине смогла",👍
Ага Молли ваша сказала что хозяин сдох,😂😂😂
дак челяба или спб?,😭
"Да похуй на эту Молли, все равно втроём уйдут",😂
я просто лично с вами всеми знакома а вы мя не помните,😭
Я? Меня на букву А зовут,😂
Ухахахха это сестра старшая,😂
Прода волшебного участка когда? Он мне зашёл,💔
"ТНТ Выдаете ей уже бан,",🙈
я бы тебе пела автаспота па фасе сна,😭
у мя ее хотяб тигры не сожрали как твоб на арене цирка лол кек дэмн,🌟🌟🌟
ало самсунг свой контроль пока он не,💥
"ощущение от Мона-Лизы, а в детстве я вообще эту картину боялась, родителям пришлось ее убирать",🤷
Вечер независимой женщины,😁
Сайт заработает интересно,😂
"Не забывайте, что это шоу!!!! Что значит «захотел-пришел»?",🤣
А вы тут на полном серьезе дебаты разводите,🤣🤣🤣
"ТНТ, доброе утро!",☕🌞
Я голосую за Молли,😘❤
"Давайте представим, что Артём Вампир продавец-консультант техники",😆
"тож безумно хочу, чтобы его убрали, потому что я не понимаю смысла второй его победы",🌟
Счетчик скандалов в «Сокровищах императора» наконец зашевелился,😅
Вообще-то уже 19:04,😐
Четко описала картину,🔥🔥🔥
"Ух жаришка намечается , смотреть сегодня буду",😁
Прыжок из девочки в женщину оказался не заметен для меня,🤣
сегодня в 19:00,🔥
Осталось совсем чуть-чуть,🤏
Разные часовые пояса,😍
"Ну,и что что неправильно, но подсказываем же",🤣🤣🤣
"Для меня, также как и для Алисы Кретовой, этот сезон Холостяка - просто экстаз",😍
"Холостяк, помноженный на экстрасенса",❤
Да еще и после двухгодичного перерыва,🥰😘
Это на Дальнем Востоке? А в Анапе ещё ждать 8 часов,🙄🧐
наш вампир оттуда,😁
Где КОНФЕТКА?? Где новый сезон ТАНЦЕВ?!,⚡⚡⚡
как мошенник может помогать людям в битве?,🤡
Бэнь-бэнь-бэнь-бэнь! Батя в здании!,🔫
Бэнь-бэнь-бэнь-бэнь! Спасайте задницы!,😂
МЫ ЗАВОД ПО МЕМАМ ГОТОВИМ!,❤
Так и в ЭБС было весь год,😁
Ну это уж совсем глупость,😂😂😂
"все знают когда и где идёт съёмка, можно мимо пройти убедиться",😁
они ж не отвечают,🤷🏽
"Всем Владимирам и не Владимерам, Привет!",💋💋
"Тогда пусть не косит под неё, выбрал образ один в один и теперь не нравится",😁
не нравится - одевайся и запоетайся по другому,😁
Этот трек >>>>>>Сегодня участники «Новой Фабрики звёзд» споют хиты «фабрик» прошлых лет,🔥🔥🔥
Все переожелись и я тут же забыла даже лица кто есть кто,🙈
"Хитовый вечер обещает быть горячим, не пропустите зрелище!",🔥
А что сейчас можно голосовать только через регистрацию в Газпром?,😁
Шо це за бред,😊
"Хватит спорить кто лучше они обе слабые, я круче, я Толик",😝😈
"Нечестно, что Левин там!",😡
А тут Газпром и ничего больше,😁
Очень хочется посмотреть на восточные практики Молли,🤍
"который уже выходи ранее??? Я хотела посмотреть новый дневник, но вы выпустили не тот дневник",😠😠😠
ТНТ» завтра в 7,
"который уже выходи ранее??? Я хотела посмотреть новый дневник, но вы выпустили не тот дневник",😠😠😠
ну он правда не из новой фабрики звезд ну ладно трек Александра круга прям вау,😙👌
Сериал ещё круче,😎
"Не сомневаюсь, жду премьеры",❤
Полищук умирал на сцене,👎
"Мне понравилось, с дочкой болели за желтых",🥰
Ну вы же понимаете этого не будет никогда,😂
А зачем эта информация?,😋☺
А вампир-то медийный,😁
в рекламе O'stin снялся,😄
"Какой неудачный выбор ведущего! Илья - страшный накрашенный мужчина, который переигрывает, озвучивая рекламу",🤢🤢🤢
Лучше бы пригласили кого-то брутального и самостоятельного,😏
Вообще круто будет,😎🔥⚡
Эту премьеру ждет УСпех,🥸
Погребняк! Хватит завидовать! Дава тебе не светит!,😂
Так радостно видеть бывших участников,👍😍
Золотой состав актёров,❤
говорит и чувствует остальным нужно заговоры ретуалы а она пришла почувствовала и рассказала Лина лучшая,❤
"Да перенесли выход на 2 часа жеСлива не хотятНаивные,фаны до утра простоят",😜
Могут и до следующего,😂
"кто выиграл то,пишут что Олег",😭😭
Что наврядлиПеренесли?Или то что простоят,😜
"всё,меня ввели в сомнения,да даже если так то Димка для меня прям в сердечко",❤
"это даааа,но а я так топила за Владика",😭😭😭
"тогда они все ночью должны проходить? Или по вашему Диму надо уважать,а остальных не надо",🤷
Так всем сложно,🤷
бились бы до лохмотьев,😂🙈
"Ну как минимум, это логично",😁
Мне кажется Лина слабее(Но она красотка,😍
"я очень их люблю(но больше Викторию, Лину, Марьяну, Надежду и Константина)",❤
Ой что сейчас это мусолить,🤷
будет как будет,😊
"Кароче я за Олега,всем пока",💋
вы что думаете что колокола ночью звенеть будут?,😂😂😂
марьяна и влад как всегда,😂😂
ДИМКА КАК ВСЕХДА ХИТРОЖ,😂
дима и его оригинальность,👍
А не уже ли давно уже всем не по барабану после последнего базара???,😂
Так и не понял — где смеяться ?,🤔
"Работает закон : 98% продолжений фильмов,сериалов — провальные ! И этот не обошёл стороной !",🤦
Дима не прав,😭😒🙈
Я не ожидала такого от Димы,😳
Эх Димон Димон не ожидала услышать,😔
Олег закрыл чат,🤣
там разрыв мозга,😅
Выиграла Ангелина Изосимов,🏆
"Самая слабая естественно Лина, ожидала от нее большегоСамый сильный конечно же Влад, просто потрясающий",❤
Вся на нервах,😭😭
"Ппц,есть от нервов захотелось",😡
"Великолепный век отдыхает ,в бс больше интриг",🤣
"Он один из сильнейших, я верю в него",💋
Тем временем чат Олега опять начинают громить,🤣
И Я И ЕЩЕ КУЧА ЛЮДЕЙ,😳
Пипец какой то,🤣
Ой я дура,😭😭😭
Виктория там в красивом платье,❤
Мне до туда 2 дня ехать,😭😭
Я за Вику!,👍
У них 6ый дубль проходки,🙈😂
долго ли умеючи,😂
Тут уснуть нельзя,😭😭😭
Один владик с мартяночкой отличились,☺
Его девушка бросила,😭
"Ребята не ругайтесь , выиграет Алексей Педин!!!",😆
"Дима закончил красиво,но сказал не правду",😢
Олег должен победить,🙏🏻🪬
Такая у него родня,😂
Барон главный герой этого сериала,😍🫶😂
Напишите в лс победителя прошу!,🙏
"Тогда Виктория победит ,что то же хорошо и да же замечательно",🤗
Влад Череватый выиграет,😈✨
У меня пол третьего,😜
У меня будильник через полтора часа сработает,🙈😂😂
Я топлю за Диму,😭💗
мне можно не ложиться уже видимо,😝
"Где воспитание, давайте пожалуйста без мата",😊
Я за Вику или Олега!,😄
Ну чё ептаДождались,😂😂😂
Та терпение! В субботу все узнаем,😄
ТОПИМ ЗА ОЛЕГАААА,❤💋
"Экстрасенсы честно ответили, кого считают слабейшим на проекте",🫢
Правильно сделала что не стала терпеть такое отношения,😘😘😘
Вот сижу и жду!! А что в субботу смотреть теперь,😄😄
"А что,она ж всегда плачет когда ей оценки не нравятся",🤷
"Здраасьтии, а я ,",🤷
И ещё одна тута,😜
Просто чего они там так долго делают,🤷
Ахах Запорожская обл,😂
Я тут смотрю люди в основном с юга России собрались!,😄
Капец! Вы уже встали или ещё не ложились!?,😄
"Вроде и рада, но за Влада тоже болела",😢🫠
"А теперь, всем сладких снов и удачного дня завтра)",❤
"Всё очень стильные,особенно Лина",💋
Нет Елены Палено,😡
Бред какой-то получился и с финалом,😅
Влад и Олег,😀
"Саша? Константин?Думаю не стоит подписоте, делать хорошую мину при плохой игре",🤣🤣🤣
Не понятная позиция Влада,🙃
"Поздравляю вас ребята ,всех тех кто за Влада",🤗
мои любимчики не попали в финал,🙃
"Каждый сильнейший , каждый … Они просто мощь",💪
ООО сердечкам зачёт,💜
"Теперь интрига будет , ох уж это ожидание",😩
победы!Олег победитель - он великодушен и достоин победы!Вы оба пришли к равновесию!Пусть сделают две руки,🖐
ВЛАД ТЫ ЛУЧШИЙ,🥇❤
"Ребят, кто сегодня был на съемках финала, пожалуйста, покидайте видосы",🙏🏻
"Я в толпучке стоял, не было возможности снять что-то",😿
"Финалисты «Новых звезд в Африке» известны, и мы не смогли пройти мимо этой отсылки",😏
Карина Кокс заслуживает победу,🏆
Карина кокс самая достойная,🔥
Нигай и Базанов,🤮
"Да Нигай просто хвасталась кое-чем, наверное",😄
Женя и Карина Кокс,🔥🔥🔥
взяли всю контору спалили,🫨
Как изговняли финал,😔😔😔
"и крутые девчонки не только в текущем сезоне, но и за все 5 сезонов ЗвА",🔥🔥🔥
Карина и Женя! Только вперёд!!!! Классные обе и болею за них одинаково!,😍
Неплохо) базанов газуй,👍👍
А победит только Женя,👍❤✨
"Базаров расстроил , хоть бы не базанов и не нигай",🙏🙏🙏
Жду её победы!,💋
"Слабый , и оказался в финале это как так!",🤔
Ну на крайняк Карина Кокс,😊
А мой голос не за Олега,😡
Ждём битву сезонов,👍👍👍
А потом будет битва всех сезонов,😂😂😂
За Женю и Карину! Вперёд девчонки! Неприятное открытие этого сезона Нигай и Базанов,👎
"Александр Шепс - экстрасенс, медиум, а теперь еще и участник юмористического шоу?!",😧
"Спросили восходящую звезду юмора о том, кто победит в ФИНАЛЕ «Лиги Городов» в это воскресенье",😂
"Давайте везде его, а то мало же",😂
ещё одна легенда,💖
